Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,135.889999,136.119995,134.330002,135.360001,18400800,135.360001
2017-02-22,133.600006,136.789993,133.460007,136.119995,27312900,136.119995
2017-02-21,133.50,133.910004,132.899994,133.720001,14673300,133.720001
2017-02-17,133.50,134.089996,133.169998,133.529999,12249900,133.529999
2017-02-16,133.070007,133.869995,133.020004,133.839996,12809800,133.839996
2017-02-15,133.449997,133.699997,132.660004,133.440002,13144500,133.440002
2017-02-14,134.100006,134.229996,132.550003,133.850006,14340100,133.850006
2017-02-13,134.699997,134.699997,133.699997,134.050003,13503300,134.050003
2017-02-10,134.100006,134.940002,133.679993,134.190002,14557400,134.190002
2017-02-09,134.490005,134.50,133.309998,134.139999,16441600,134.139999
2017-02-08,132.600006,134.440002,132.440002,134.199997,22329500,134.199997
2017-02-07,132.240005,133.00,131.660004,131.839996,14563800,131.839996
2017-02-06,130.979996,132.059998,130.300003,132.059998,16911200,132.059998
2017-02-03,131.240005,132.850006,130.759995,130.979996,24325000,130.979996
2017-02-02,133.220001,135.490005,130.399994,130.839996,54179400,130.839996
2017-02-01,132.25,133.490005,130.679993,133.229996,42482700,133.229996
2017-01-31,130.169998,130.660004,129.520004,130.320007,19444000,130.320007
2017-01-30,131.580002,131.580002,129.600006,130.979996,18891400,130.979996
2017-01-27,132.679993,132.949997,131.080002,132.179993,19493900,132.179993
2017-01-26,131.630005,133.139999,131.440002,132.779999,19818100,132.779999
2017-01-25,130.00,131.740005,129.770004,131.479996,18731300,131.479996
2017-01-24,129.380005,129.899994,128.380005,129.369995,15130100,129.369995
