Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,32.48,33.09,32.27,32.439999,8940800,32.439999
2017-02-22,32.299999,32.84,32.110001,32.360001,9380100,32.360001
2017-02-21,33.09,33.490002,32.130001,32.290001,16032300,32.290001
2017-02-17,31.959999,32.310001,31.860001,32.299999,8154100,32.299999
2017-02-16,32.700001,32.869999,31.719999,31.82,8807300,31.82
2017-02-15,32.889999,33.02,32.41,32.740002,7304900,32.740002
2017-02-14,32.610001,32.990002,32.50,32.68,7536800,32.68
2017-02-13,33.07,33.23,32.43,32.580002,14036800,32.580002
2017-02-10,32.439999,32.880001,31.549999,31.99,7891300,31.99
2017-02-09,31.98,32.650002,31.639999,32.369999,7600200,32.369999
2017-02-08,31.049999,31.98,30.809999,31.98,6872700,31.98
2017-02-07,31.74,32.150002,31.02,31.200001,10410700,31.200001
2017-02-06,32.639999,32.790001,31.639999,31.790001,14467600,31.790001
2017-02-03,30.690001,34.369999,30.110001,32.689999,47441400,32.689999
2017-02-02,30.32,31.059999,29.90,30.719999,16449700,30.719999
2017-02-01,29.32,29.57,29.120001,29.209999,5049800,29.209999
2017-01-31,28.85,29.58,28.74,29.540001,9010100,29.540001
2017-01-30,29.07,29.530001,29.030001,29.52,5385400,29.52
2017-01-27,29.950001,29.969999,28.700001,29.110001,9912400,29.110001
2017-01-26,30.18,30.34,29.809999,29.92,4347300,29.92
2017-01-25,30.16,30.40,29.93,30.15,6080700,30.15
2017-01-24,29.52,30.030001,29.52,29.98,5011000,29.98
