Date,Open,High,Low,Close,Volume,Adj Close
2017-02-23,16.120001,16.27,15.90,16.030001,15274000,16.030001
2017-02-22,16.40,16.51,16.01,16.08,13537500,16.08
2017-02-21,16.639999,16.690001,16.299999,16.42,15931900,16.42
2017-02-17,16.360001,16.629999,16.360001,16.620001,14346600,16.620001
2017-02-16,16.690001,16.790001,16.32,16.35,21465000,16.35
2017-02-15,16.85,16.889999,16.299999,16.74,35072600,16.74
2017-02-14,15.92,16.60,15.85,16.52,34709300,16.52
2017-02-13,15.63,15.99,15.51,15.81,29055500,15.81
2017-02-10,15.96,16.00,15.50,15.58,72812600,15.58
2017-02-09,18.719999,18.719999,16.26,16.41,109007400,16.41
2017-02-08,18.77,18.77,18.049999,18.719999,37049000,18.719999
2017-02-07,18.00,18.67,17.99,18.26,26719600,18.26
2017-02-06,17.700001,17.969999,17.41,17.93,13166800,17.93
2017-02-03,17.719999,17.85,17.440001,17.610001,14320200,17.610001
2017-02-02,17.33,17.860001,17.120001,17.780001,19285400,17.780001
2017-02-01,17.84,17.92,17.10,17.24,21050100,17.24
2017-01-31,16.950001,17.74,16.91,17.620001,25802900,17.620001
2017-01-30,16.57,17.10,16.41,16.940001,18232100,16.940001
2017-01-27,16.91,16.969999,16.530001,16.57,11825900,16.57
2017-01-26,16.860001,17.07,16.790001,16.809999,10051200,16.809999
2017-01-25,16.700001,16.790001,16.59,16.73,10928100,16.73
2017-01-24,16.610001,16.66,16.33,16.52,12678800,16.52
